ULMeanNL,ConnMean,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,ArfcnDL,NbrPktDL,NbrPktLossDL,UpOctUL,UpOctDL,BsChannelBwUL,BsChannelBwDL,MaxTxPower,RetTilt,TransRatePeak,RSRP,RSRQ,Label
-111,9,128,123,289160,651793,313596,17832,48570.01025498741,319743.6365098501,5,80,248,629,498,-96,-11,0
-108,11,173,156,164380,534380,481553,46587,58151.85966269709,465445.41775517026,40,100,325,931,522,-84,-10,2
-116,11,165,150,289160,534380,89721,6683,10328.863971983308,82522.70306605886,70,15,348,320,523,-85,-10,2
-129,11,153,152,354880,129160,390161,26665,57694.69684587862,471798.35700313054,80,100,349,195,542,-83,-9,2
-119,12,176,163,496980,645024,158240,8576,18077.04171115796,169917.82435255108,100,30,339,784,532,-81,-10,2
-106,11,182,179,295780,626514,157010,8105,14162.274071426478,147556.48253608277,5,30,235,2087,481,-96,-12,0
-106,12,190,186,643585,368460,58035,4267,6837.763304859086,53735.86465466113,30,10,331,572,545,-81,-10,2
-106,10,145,138,133260,382580,83335,8308,12580.095846059885,87683.89185493843,20,20,360,1696,528,-81,-10,2
-106,14,205,199,628173,400180,112453,8850,12226.17659135671,103810.30937137216,30,15,336,768,545,-81,-10,2
-111,15,226,212,522954,368460,496553,37190,71693.13931139557,558699.983793837,15,90,333,1381,532,-84,-10,2
-111,8,117,105,169760,163140,55704,5179,6091.488521038407,50177.93001822678,40,15,262,2786,505,-95,-11,0
-105,10,159,158,340720,155240,416263,32737,41209.94305248652,375898.4270517697,50,80,334,176,511,-83,-11,2
-133,13,196,177,169580,709334,176480,12447,22492.35267654762,178914.9607963637,50,30,333,1074,532,-84,-10,2
-122,10,163,156,165960,173280,432341,41799,54886.67390216086,490921.8706289844,10,100,252,2007,497,-97,-12,0
-117,9,124,123,289160,299160,225445,19312,30596.673935293555,242985.4811900764,100,60,253,1353,496,-95,-11,0
-117,10,165,155,404920,645024,113775,8848,24223.78459691073,116468.58370059928,50,25,231,717,513,-95,-11,0
-117,16,245,238,522954,534380,290307,21750,41372.87298726661,308435.3891512766,80,50,317,1229,512,-86,-11,2
-124,17,262,255,628173,173280,78360,5979,8976.376748008048,82144.61058317417,60,10,309,1050,531,-82,-10,2

-116,10,142,128,370460,394460,396706,25495,51254.176265394104,373893.2978180714,100,90,149,1435,416,-115,-16,1
-119,9,127,124,340720,190460,321650,17790,41661.35044031128,356685.8934477318,70,100,154,1910,457,-111,-14,1
