ULMeanNL,ConnMean,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,ArfcnDL,NbrPktDL,NbrPktLossDL,UpOctUL,UpOctDL,BsChannelBwUL,BsChannelBwDL,MaxTxPower,RetTilt,TransRatePeak_mean,RSRP_mean,RSRQ_mean,Label
-100.0,188.0,2619.0,2358.0,340900.0,511960.0,34322670.0,3268729.0,4633268.993885307,31415605.241319694,5.0,30.0,31.0,48.0,6504976.323648197,-100.8,-10.8,3.0
-100.0,189.0,2797.0,2780.0,166600.0,377120.0,51988035.0,5061463.0,7443568.89395485,61388219.0795281,5.0,60.0,26.0,63.0,10009889.64246412,-100.8,-11.0,3.0
-97.0,170.0,2583.0,2430.0,724756.0,402320.0,10769826.0,567952.0,1244779.2140332535,9774843.450965444,5.0,10.0,28.0,79.0,2906331.692672779,-101.6,-11.2,3.0
-92.0,188.0,3058.0,2916.0,638797.0,428380.0,84497428.0,4435048.0,11027478.170446644,80739976.25208184,20.0,80.0,27.0,38.0,10295943.51325182,-101.8,-12.8,3.0
-90.0,176.0,2749.0,2601.0,294840.0,400620.0,15193856.0,1133331.0,2383033.221090717,15003425.867433213,80.0,15.0,29.0,46.0,3479436.3388152244,-102.0,-11.8,3.0
-95.0,181.0,2635.0,2570.0,505320.0,363040.0,10999295.0,938419.0,1247022.2717903552,10357017.035994662,10.0,10.0,24.0,39.0,2509106.5813886123,-102.6,-11.2,3.0
-95.0,210.0,3541.0,3203.0,497880.0,426500.0,114686791.0,7979051.0,16006592.457880866,112028004.90990604,5.0,100.0,28.0,53.0,9577494.073874068,-102.8,-11.0,3.0
-93.0,179.0,2865.0,2813.0,642327.0,400620.0,20797497.0,1366298.0,2055614.3243422944,20262518.619989514,20.0,20.0,34.0,71.0,4625244.352448423,-100.8,-11.2,3.0
-94.0,168.0,2614.0,2430.0,461700.0,424540.0,19693616.0,1718032.0,1926664.626960988,18806285.76847629,40.0,20.0,24.0,73.0,4844738.078342085,-102.2,-11.2,3.0
-95.0,181.0,2810.0,2804.0,729200.0,402240.0,112016786.0,8765514.0,15216045.600071443,96438763.3610276,20.0,100.0,27.0,29.0,15597483.74342146,-99.8,-11.0,3.0
-95.0,167.0,2438.0,2295.0,142060.0,402240.0,16033936.0,1059241.0,1649420.2431086928,14251520.04513552,60.0,15.0,30.0,34.0,4331580.751397025,-101.2,-11.2,3.0
-98.0,180.0,2698.0,2436.0,163620.0,424540.0,27537029.0,2479149.0,3715774.096963325,30046839.61825623,100.0,30.0,30.0,16.0,7301066.262814219,-100.4,-12.0,3.0
-93.0,160.0,2392.0,1928.0,157760.0,153260.0,62014215.0,4210913.0,5539342.74534412,72619040.64608888,10.0,90.0,5.0,136.0,3983652.8236890687,-108.8,-10.8,4.0
-114.0,160.0,2746.0,2706.0,379020.0,423500.0,16600036.0,1314511.0,1886144.9373617696,17005534.58859635,15.0,20.0,5.0,92.0,3247768.8445752524,-107.0,-12.0,4.0
-114.0,160.0,2356.0,2162.0,636856.0,645950.0,9294978.0,857853.0,1088385.58645579,8702767.294298153,25.0,10.0,5.0,172.0,1906798.0291453,-108.6,-11.0,4.0
-112.0,164.0,2785.0,2711.0,518020.0,514260.0,81686208.0,6365223.0,8915162.447310485,74434516.6622411,60.0,90.0,5.0,94.0,6416417.217466297,-106.4,-11.4,4.0
-112.0,142.0,2342.0,2263.0,382560.0,174160.0,49464240.0,4521689.0,5096917.226977023,41116397.35781814,90.0,60.0,1.0,205.0,1590280.535246378,-113.6,-11.0,1.0
-115.0,131.0,1896.0,1798.0,499470.0,516840.0,9082976.0,902123.0,1204573.8451170602,9974081.080763765,20.0,15.0,1.0,204.0,1064938.8635470744,-114.6,-11.0,1.0
-115.0,126.0,1903.0,1822.0,391520.0,151700.0,16150528.0,1248431.0,1914822.7726585416,15698804.735926213,20.0,25.0,1.0,154.0,1306158.8670228191,-114.4,-11.6,1.0
-118.0,127.0,1845.0,1836.0,462280.0,163720.0,64282950.0,5662363.0,5428190.226284239,54323908.74726864,60.0,90.0,1.0,161.0,2064230.3548538045,-112.4,-10.8,1.0
-96.0,188.0,2792.0,2776.0,169220.0,424400.0,112795362.0,11058681.0,12839557.685039122,100410709.0005827,100.0,100.0,29.0,55.0,10393312.921848807,-102.6,-11.2,3.0
-102.0,196.0,2746.0,2613.0,378760.0,479360.0,54233715.0,4063541.0,8560598.99913205,53504735.624622695,70.0,50.0,28.0,24.0,6912811.96191941,-103.2,-11.2,3.0
-97.0,183.0,2869.0,2841.0,497440.0,431140.0,10944451.0,679439.0,1595014.7474282803,10522331.479568684,70.0,10.0,28.0,85.0,2828156.3829662823,-102.0,-10.4,3.0
-97.0,174.0,2539.0,2484.0,177520.0,431140.0,9998822.0,829194.0,1370858.286199149,10004839.76745875,20.0,10.0,28.0,20.0,2864967.938937378,-101.8,-11.4,3.0
-93.0,186.0,2945.0,2869.0,290540.0,439700.0,95125478.0,7797334.0,12253827.807717776,89726325.44482917,100.0,90.0,29.0,46.0,13807953.145978875,-100.2,-10.8,3.0
-94.0,193.0,2704.0,2692.0,381220.0,401460.0,109526667.0,8294617.0,15183955.317235012,103423827.42964011,15.0,100.0,32.0,60.0,13472344.939638034,-100.8,-10.8,3.0
