ULMeanNL,ConnMean,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,ArfcnDL,NbrPktDL,NbrPktLossDL,UpOctUL,UpOctDL,BsChannelBwUL,BsChannelBwDL,MaxTxPower,RetTilt,TransRatePeak_mean,RSRP_mean,RSRQ_mean,Label
-103.0,138.0,1991.0,1459.0,652186.0,727984.0,15540899.0,1008304.0,1602298.8878221605,18195260.487410296,30.0,25.0,5.0,112.0,3131387.4723227024,-108.2,-10.8,4.0
-92.0,174.0,2819.0,2172.0,141340.0,147160.0,28468983.0,1786842.0,2631138.064228073,27358590.265927322,20.0,30.0,5.0,41.0,3471741.301648458,-108.0,-11.8,4.0
-98.0,140.0,1978.0,1255.0,462660.0,498460.0,3220165.0,314863.0,368803.4166495985,3894960.691255437,30.0,5.0,5.0,86.0,1543618.8342025739,-107.0,-11.0,4.0
-121.0,148.0,2322.0,2321.0,652186.0,163620.0,63989975.0,6069896.0,7564418.70836928,59960477.97780753,5.0,80.0,5.0,94.0,6506589.849530676,-106.0,-10.8,4.0
-113.0,138.0,2034.0,2010.0,158100.0,425820.0,4447838.0,395731.0,493713.6557970727,3839318.395666074,80.0,5.0,5.0,108.0,1575837.411467589,-106.8,-11.8,4.0
-106.0,141.0,2409.0,2232.0,142600.0,387840.0,32029315.0,2589551.0,3408400.4626116226,29267254.712401237,15.0,40.0,5.0,112.0,5015174.633254176,-106.2,-11.0,4.0
-111.0,165.0,2498.0,2380.0,707746.0,375620.0,34837136.0,2518432.0,4017587.387882463,34248915.08898017,20.0,40.0,5.0,133.0,3979942.0675702095,-107.8,-10.8,4.0
-123.0,153.0,2391.0,2315.0,642282.0,160580.0,13978780.0,1050756.0,1550085.5846350805,12315220.72036455,100.0,15.0,5.0,169.0,2282252.1975305704,-109.0,-11.0,4.0
-118.0,166.0,2346.0,2191.0,462660.0,637168.0,13481878.0,1331322.0,1463063.389973614,13361612.02340206,80.0,15.0,5.0,133.0,2608009.282293122,-108.0,-10.6,4.0
-117.0,163.0,2405.0,2245.0,391920.0,630550.0,57456959.0,4001366.0,5686182.760451811,50035548.42926656,30.0,60.0,5.0,192.0,4513165.690102321,-107.8,-11.0,4.0
-122.0,169.0,2453.0,2248.0,141340.0,185840.0,21483751.0,1590905.0,2633197.2902107467,17962095.909204897,15.0,20.0,5.0,50.0,3134141.2704433096,-107.8,-11.6,4.0
-116.0,157.0,2316.0,2305.0,351000.0,403160.0,79053747.0,4718244.0,9482178.50901978,71257433.63397472,50.0,90.0,5.0,97.0,5378949.42540699,-107.2,-11.4,4.0
-112.0,139.0,2097.0,1979.0,702879.0,509148.0,42205539.0,2876440.0,6247281.126904421,42668351.114527926,90.0,60.0,5.0,109.0,4960527.774798882,-107.4,-11.6,0.0
-115.0,153.0,2447.0,2437.0,384440.0,640194.0,20965428.0,1865759.0,2551393.1594607686,20173006.19256359,5.0,25.0,5.0,87.0,3551275.951461886,-107.8,-11.0,0.0
-115.0,145.0,2034.0,1852.0,285960.0,395880.0,32061624.0,2064366.0,4244851.85944122,30097531.44183106,25.0,40.0,5.0,107.0,5747132.125817544,-106.0,-11.4,0.0
-118.0,139.0,2092.0,1987.0,291080.0,534440.0,59951565.0,3654729.0,6950605.122143682,63087791.56128971,40.0,90.0,5.0,101.0,5070676.6068005245,-107.8,-10.6,0.0
-123.0,150.0,1962.0,1857.0,509240.0,178100.0,60538225.0,3730465.0,8203205.737154508,68080350.60570832,5.0,90.0,5.0,130.0,6335991.680494161,-106.8,-11.2,0.0
-115.0,144.0,2074.0,1874.0,141720.0,520920.0,10355949.0,651954.0,981093.7561835552,7832490.564868338,5.0,10.0,5.0,138.0,2613076.8366105994,-107.0,-10.8,0.0
-108.0,138.0,1843.0,1662.0,351460.0,496820.0,10824282.0,806779.0,1400548.1741607205,11107846.139936652,100.0,15.0,5.0,165.0,3835998.4105840176,-105.4,-11.0,0.0
-112.0,153.0,2178.0,1981.0,529254.0,425200.0,20602501.0,1422892.0,3416175.7420703783,20173006.19256359,15.0,25.0,5.0,85.0,3594456.878711368,-107.8,-10.8,0.0
-123.0,139.0,2290.0,2175.0,403860.0,638642.0,58435328.0,3729606.0,8515516.479315363,49509258.18449892,60.0,70.0,5.0,135.0,7036222.243634542,-105.6,-10.6,0.0
-119.0,127.0,1745.0,1635.0,648720.0,153240.0,13570511.0,1206145.0,1566221.0178922918,13498143.079698356,5.0,20.0,5.0,127.0,4756659.456237091,-105.0,-11.6,0.0
-120.0,149.0,2306.0,2255.0,704696.0,123960.0,43250033.0,4323670.0,5442673.66234298,45738016.66233569,30.0,60.0,5.0,76.0,6445782.990542253,-106.0,-11.4,0.0
-133.0,162.0,2580.0,2437.0,512772.0,666180.0,18482643.0,1203858.0,2496485.873819659,21359653.615655564,80.0,25.0,5.0,144.0,3635753.4880986745,-107.8,-10.4,0.0
-95.0,172.0,2528.0,1904.0,382380.0,424400.0,18339906.0,1557923.0,1837323.3866491835,18280949.68274108,25.0,20.0,5.0,148.0,1930969.7700772532,-110.4,-11.4,4.0
-97.0,184.0,2721.0,2290.0,290160.0,300620.0,75323226.0,4151719.0,5789055.352725069,74545459.1075445,100.0,80.0,5.0,95.0,4222492.581384093,-108.4,-11.2,4.0
-93.0,181.0,2707.0,1987.0,177480.0,188320.0,5130099.0,411142.0,462422.4521093904,5035627.750837387,70.0,5.0,5.0,178.0,1033193.280036713,-110.0,-10.8,4.0
-111.0,168.0,2492.0,2480.0,639932.0,124120.0,8545440.0,571946.0,1367160.504748637,9137905.659013063,15.0,10.0,5.0,60.0,1914424.3633709599,-107.8,-10.6,4.0
-113.0,178.0,2573.0,2377.0,178420.0,296140.0,4682622.0,398915.0,558166.824108208,4952164.307453342,20.0,5.0,5.0,110.0,1174437.331589359,-108.6,-11.2,4.0
-116.0,169.0,2921.0,2812.0,515085.0,147540.0,15465579.0,1110452.0,2069183.969295842,17962095.909204897,60.0,20.0,5.0,100.0,2119050.344118136,-109.8,-10.4,4.0
-118.0,176.0,2612.0,2579.0,511800.0,401780.0,63591907.0,4906375.0,7055769.8607838815,62687981.58612813,25.0,70.0,5.0,147.0,3674227.5357871363,-109.0,-11.4,4.0
-117.0,173.0,2581.0,2534.0,394480.0,174160.0,34325443.0,2835024.0,4275826.940591769,35909468.54783981,70.0,40.0,5.0,74.0,3289848.7026959644,-108.6,-10.6,4.0
-117.0,166.0,2414.0,2281.0,177480.0,390260.0,4706979.0,338027.0,458225.31735994446,4618310.533917162,70.0,5.0,5.0,103.0,1112143.1657516868,-109.2,-11.4,4.0
