node1,relation,node2
Ran-001,包含,GNB-001
Ran-001,包含,GNB-002
Ran-001,包含,GNB-003
Ran-001,包含,DU-001
Ran-001,包含,DU-002
Ran-001,包含,DU-003
Ran-001,包含,DU-004
Ran-001,包含,DU-005
Ran-001,包含,DU-006
Ran-001,包含,CU-001
Ran-001,包含,CU-002
Ran-001,包含,CU-003
Ran-001,包含,Rru-001
Ran-001,包含,Rru-002
Ran-001,包含,Rru-003
Ran-001,包含,Rru-004
Ran-001,包含,Rru-005
Ran-001,包含,Rru-006
GNB-001,包含,NrCell-001
GNB-001,包含,NrCell-002
GNB-001,包含,NrCell-003
GNB-001,包含,NrCell-004
GNB-002,包含,NrCell-005
GNB-002,包含,NrCell-006
GNB-002,包含,NrCell-007
GNB-002,包含,NrCell-008
GNB-003,包含,NrCell-009
GNB-003,包含,NrCell-010
GNB-003,包含,NrCell-011
GNB-003,包含,NrCell-012
DU-001,包含,CellDu-001
DU-001,包含,CellDu-002
DU-002,包含,CellDu-003
DU-002,包含,CellDu-004
DU-003,包含,CellDu-005
DU-003,包含,CellDu-006
DU-004,包含,CellDu-007
DU-004,包含,CellDu-008
DU-005,包含,CellDu-009
DU-005,包含,CellDu-010
DU-006,包含,CellDu-011
DU-006,包含,CellDu-012
DU-001,接入（中传）,CU-001
DU-002,接入（中传）,CU-001
DU-003,接入（中传）,CU-002
DU-004,接入（中传）,CU-002
DU-005,接入（中传）,CU-003
DU-006,接入（中传）,CU-003
Rru-001,覆盖,NrCell-001
Rru-001,覆盖,NrCell-002
Rru-002,覆盖,NrCell-003
Rru-002,覆盖,NrCell-004
Rru-003,覆盖,NrCell-005
Rru-003,覆盖,NrCell-006
Rru-004,覆盖,NrCell-007
Rru-004,覆盖,NrCell-008
Rru-005,覆盖,NrCell-009
Rru-005,覆盖,NrCell-010
Rru-006,覆盖,NrCell-011
Rru-006,覆盖,NrCell-012
Rru-001,接入（前传）,DU-001
Rru-002,接入（前传）,DU-002
Rru-003,接入（前传）,DU-003
Rru-004,接入（前传）,DU-004
Rru-005,接入（前传）,DU-005
Rru-006,接入（前传）,DU-006
Rru-001,包含,Antenna-001
Rru-001,包含,Antenna-002
Rru-002,包含,Antenna-003
Rru-002,包含,Antenna-004
Rru-003,包含,Antenna-005
Rru-003,包含,Antenna-006
Rru-004,包含,Antenna-007
Rru-004,包含,Antenna-008
Rru-005,包含,Antenna-009
Rru-005,包含,Antenna-010
Rru-006,包含,Antenna-011
Rru-006,包含,Antenna-012
NrCell-001,包含,Cpn-001
NrCell-002,包含,Cpn-002
NrCell-003,包含,Cpn-003
NrCell-004,包含,Cpn-004
NrCell-005,包含,Cpn-005
NrCell-006,包含,Cpn-006
NrCell-007,包含,Cpn-007
NrCell-008,包含,Cpn-008
NrCell-009,包含,Cpn-009
NrCell-010,包含,Cpn-010
NrCell-011,包含,Cpn-011
NrCell-012,包含,Cpn-012
Cpn-001,包含,Terminal_cpn-001
Cpn-001,包含,Terminal_cpn-002
Cpn-001,包含,Terminal_cpn-003
Cpn-001,包含,Terminal_cpn-004
Cpn-001,包含,Terminal_cpn-005
Cpn-001,包含,Terminal_cpn-006
Cpn-001,包含,Terminal_cpn-007
Cpn-001,包含,Terminal_cpn-008
Cpn-002,包含,Terminal_cpn-009
Cpn-002,包含,Terminal_cpn-010
Cpn-002,包含,Terminal_cpn-011
Cpn-002,包含,Terminal_cpn-012
Cpn-002,包含,Terminal_cpn-013
Cpn-002,包含,Terminal_cpn-014
Cpn-002,包含,Terminal_cpn-015
Cpn-002,包含,Terminal_cpn-016
